1989.965088,3.77E-13
1988.936401,3.76E-13
1987.907593,3.76E-13
1986.878662,3.74E-13
1985.849365,3.74E-13
1984.819946,3.73E-13
1983.790283,3.73E-13
1982.760254,3.72E-13
1981.730103,3.72E-13
1980.699585,3.72E-13
1979.668945,3.72E-13
1978.638062,3.73E-13
1977.606934,3.72E-13
1976.575439,3.72E-13
1975.543823,3.71E-13
1974.511963,3.71E-13
1973.479736,3.71E-13
1972.447388,3.70E-13
1971.414795,3.70E-13
1970.381958,3.70E-13
1969.348877,3.70E-13
1968.31543,3.69E-13
1967.28186,3.68E-13
1966.248047,3.69E-13
1965.213989,3.68E-13
1964.179688,3.66E-13
1963.145142,3.66E-13
1962.110352,3.66E-13
1961.075195,3.66E-13
1960.039917,3.65E-13
1959.004395,3.63E-13
1957.968628,3.63E-13
1956.932617,3.64E-13
1955.896362,3.63E-13
1954.859863,3.63E-13
1953.82312,3.63E-13
1952.786011,3.62E-13
1951.748779,3.62E-13
1950.711304,3.61E-13
1949.673584,3.61E-13
1948.63562,3.61E-13
1947.597412,3.61E-13
1946.55896,3.60E-13
1945.520264,3.60E-13
1944.481323,3.59E-13
1943.442017,3.59E-13
1942.402588,3.58E-13
1941.362915,3.58E-13
1940.322998,3.56E-13
1939.282837,3.56E-13
1938.242432,3.55E-13
1937.20166,3.55E-13
1936.160767,3.54E-13
1935.119629,3.53E-13
1934.078247,3.53E-13
1933.036621,3.52E-13
1931.994629,3.52E-13
1930.952515,3.50E-13
1929.910156,3.51E-13
1928.867554,3.50E-13
1927.824585,3.50E-13
1926.781494,3.50E-13
1925.738159,3.50E-13
1924.694458,3.51E-13
1923.650635,3.50E-13
1922.606567,3.51E-13
1921.562134,3.50E-13
1920.517578,3.51E-13
1919.472656,3.52E-13
1918.427612,3.52E-13
1917.382202,3.53E-13
1916.33667,3.52E-13
1915.290771,3.53E-13
1914.244751,3.53E-13
1913.198364,3.54E-13
1912.151733,3.55E-13
1911.10498,3.54E-13
1910.057861,3.56E-13
1909.010498,3.55E-13
1907.963013,3.55E-13
1906.915161,3.56E-13
1905.867065,3.56E-13
1904.818726,3.56E-13
1903.770142,3.56E-13
1902.721313,3.55E-13
1901.672363,3.56E-13
1900.623047,3.54E-13
1899.573486,3.54E-13
1898.523682,3.54E-13
1897.473511,3.53E-13
1896.423218,3.51E-13
1895.372681,3.51E-13
1894.321899,3.49E-13
1893.270874,3.48E-13
1892.219604,3.47E-13
1891.167969,3.46E-13
1890.116211,3.45E-13
1889.064209,3.44E-13
1888.011841,3.43E-13
1886.959351,3.42E-13
1885.906494,3.41E-13
1884.853516,3.40E-13
1883.800171,3.40E-13
1882.746582,3.39E-13
1881.692871,3.38E-13
1880.638794,3.37E-13
1879.584473,3.36E-13
1878.529907,3.36E-13
1877.475098,3.35E-13
1876.420044,3.35E-13
1875.364746,3.36E-13
1874.309204,3.35E-13
1873.253418,3.35E-13
1872.197388,3.34E-13
1871.141113,3.35E-13
1870.084595,3.35E-13
1869.02771,3.36E-13
1867.970703,3.36E-13
1866.913452,3.37E-13
1865.855835,3.37E-13
1864.798096,3.39E-13
1863.73999,3.39E-13
1862.681641,3.40E-13
1861.623169,3.41E-13
1860.564331,3.41E-13
1859.505249,3.43E-13
1858.445923,3.43E-13
1857.386353,3.44E-13
1856.326538,3.44E-13
1855.266479,3.45E-13
1854.206177,3.45E-13
1853.14563,3.46E-13
1852.084717,3.46E-13
1851.023682,3.46E-13
1849.962402,3.46E-13
1848.900757,3.45E-13
1847.838989,3.43E-13
1846.776855,3.43E-13
1845.714478,3.41E-13
1844.651978,3.41E-13
1843.589111,3.39E-13
1842.526001,3.37E-13
1841.462646,3.35E-13
1840.399048,3.34E-13
1839.335205,3.32E-13
1838.270996,3.31E-13
1837.206665,3.29E-13
1836.14209,3.28E-13
1835.077148,3.27E-13
1834.012085,3.26E-13
1832.946655,3.24E-13
1831.880981,3.23E-13
1830.815186,3.22E-13
1829.749023,3.22E-13
1828.682617,3.19E-13
1827.615967,3.20E-13
1826.549072,3.18E-13
1825.481934,3.17E-13
1824.414429,3.17E-13
1823.346802,3.16E-13
1822.278809,3.15E-13
1821.210693,3.14E-13
1820.142212,3.15E-13
1819.073608,3.15E-13
1818.004639,3.14E-13
1816.935425,3.14E-13
1815.865967,3.15E-13
1814.796265,3.14E-13
1813.726318,3.15E-13
1812.656128,3.14E-13
1811.585571,3.14E-13
1810.514893,3.14E-13
1809.443848,3.14E-13
1808.372681,3.14E-13
1807.301147,3.15E-13
1806.22937,3.14E-13
1805.157349,3.13E-13
1804.085083,3.14E-13
1803.012573,3.14E-13
1801.939819,3.14E-13
1800.866699,3.14E-13
1799.793457,3.14E-13
1798.719849,3.14E-13
1797.646118,3.15E-13
1796.572021,3.14E-13
1795.497681,3.14E-13
1794.423096,3.14E-13
1793.348267,3.14E-13
1792.273193,3.13E-13
1791.197876,3.14E-13
1790.122192,3.14E-13
1789.046387,3.14E-13
1787.970215,3.14E-13
1786.893921,3.15E-13
1785.817261,3.14E-13
1784.740356,3.14E-13
1783.663208,3.15E-13
1782.585815,3.14E-13
1781.508057,3.15E-13
1780.430176,3.14E-13
1779.352051,3.14E-13
1778.27356,3.14E-13
1777.194824,3.13E-13
1776.115845,3.13E-13
1775.036621,3.14E-13
1773.957153,3.13E-13
1772.877441,3.14E-13
1771.797485,3.13E-13
1770.717163,3.12E-13
1769.636719,3.12E-13
1768.555908,3.12E-13
1767.474854,3.12E-13
1766.393555,3.11E-13
1765.312012,3.11E-13
1764.230225,3.10E-13
